boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,,,,,,,,,,919.99,ASUS ROG Strix GeForce GTX 1660 SUPER Advanced 6GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card (ROG-STRIX-GTX1660S-A6G-GAMING),370,Rating + 3,https://www.newegg.com/asus-geforce-gtx-1660-super-rog-strix-gtx1660s-a6g-gaming/p/N82E16814126362
,,,,,,,,,,919.99,"GIGABYTE Geforce RTX 2060 OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD Video Card",369,Rating + 3,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060oc-6gd/p/N82E16814932115
,,,,,,,,,,53.00,VisionTek Radeon 5570 SFF 1GB DDR3 4M VHDCI VGA (4 x VGA) (900366),372,Rating + 4,https://www.newegg.com/visiontek-radeon-hd-5570-900366/p/N82E16814129181
,,,,,,,,,,475.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,367,Rating + 5,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-x-4g/p/1FT-0009-001N1
,,,,,,,,,,475.99,GeForce GT 710 DirectX 12 GT 710 HHII2G 2GB 64-Bit DDR3 PCI Express 2.0 x16 Video Card HDMI+DVI+VGA,368,Rating + 5,https://www.newegg.com/p/1FT-009J-00030
,,,,,,,,,,53.00,"Visiontek Radeon HD 5450 SFF 512MB DDR3 3M (3 x DVI-D), 900344",371,Rating + 4,https://www.newegg.com/visiontek-radeon-hd-5450-900344/p/N82E16814129173
,,,,,,,,,,708.90,ASUS Dual GeForce RTX 2080 SUPER DUAL-RTX2080S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,366,Rating + 3,https://www.newegg.com/asus-rtx-2080-super-dual-rtx2080s-o8g-evo/p/N82E16814126354
,,,,,,,,,,708.90,QUADRO RTX 5000 GCARD RET SCB SB,365,Rating + 3,https://www.newegg.com/pny-quadro-rtx-5000-vcqrtx5000-sb/p/3C6-008Y-00004
,,,,,,,,,,48.55,GIGABYTE GeForce 210 DirectX 10.1 GV-N210D3-1GI 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,364,Rating + 3,https://www.newegg.com/gigabyte-geforce-210-gv-n210d3-1gi/p/N82E16814125392
,,,,,,,,,,229.99,ASUS Radeon RX 6800 RX6800-16G 16GB 256-Bit GDDR6 PCI Express 4.0 Video Card,362,Rating + 4,https://www.newegg.com/asus-radeon-rx-6800-rx6800-16g/p/N82E16814126473
